09000000 NewTextTable
09040000 Sglyph_a
09040048 Sglyph_b
09040090 Sglyph_c
090400D8 Sglyph_d
09040120 Sglyph_e
09040168 Sglyph_f
090401B0 Sglyph_g
090401F8 Sglyph_h
09040240 Sglyph_t
09040288 Sglyph_k
090402D0 Sglyph_n
09040318 Sglyph_o
09040360 Sglyph_j
090403A8 Sglyph_p
090403F0 Sglyph_q
09040438 Sglyph_r
09040480 Sglyph_s
090404C8 Sglyph_u
09040510 Sglyph_v
09040558 Sglyph_x
090405A0 Sglyph_y
090405E8 Sglyph_z
09040630 Sglyph_anima
09040678 Sglyph_armor
090406C0 Sglyph_axe
09040708 Sglyph_bow
09040750 Sglyph_dark
09040798 Sglyph_flier
090407E0 Sglyph_horse
09040828 Sglyph_dragon
09040870 Sglyph_lance
090408B8 Sglyph_light
09040900 Sglyph_staff
09040948 Sglyph_sword
09040990 Sglyph_shortspace
090409D8 UpSglyph_a
09040A20 UpSglyph_b
09040A68 UpSglyph_c
09040AB0 UpSglyph_d
09040AF8 UpSglyph_e
09040B40 UpSglyph_f
09040B88 UpSglyph_g
09040BD0 UpSglyph_h
09040C18 UpSglyph_j
09040C60 UpSglyph_k
09040CA8 UpSglyph_l
09040CF0 UpSglyph_o
09040D38 UpSglyph_p
09040D80 UpSglyph_q
09040DC8 UpSglyph_r
09040E10 UpSglyph_s
09040E58 UpSglyph_u
09040EA0 UpSglyph_v
09040EE8 UpSglyph_x
09040F30 UpSglyph_y
09040F78 UpSglyph_z
09040FC0 Mglyph_a
09041008 Mglyph_b
09041050 Mglyph_t
09041098 Mglyph_c
090410E0 Mglyph_d
09041128 Mglyph_e
09041170 Mglyph_f
090411B8 Mglyph_g
09041200 Mglyph_h
09041248 Mglyph_j
09041290 Mglyph_k
090412D8 Mglyph_n
09041320 Mglyph_o
09041368 Mglyph_p
090413B0 Mglyph_q
090413F8 Mglyph_r
09041440 Mglyph_s
09041488 Mglyph_u
090414D0 Mglyph_v
09041518 Mglyph_x
09041560 Mglyph_y
090415A8 Mglyph_z
090415F0 Mglyph_shortspace
09041638 UpMglyph_a
09041680 UpMglyph_b
090416C8 UpMglyph_c
09041710 UpMglyph_d
09041758 UpMglyph_e
090417A0 UpMglyph_f
090417E8 UpMglyph_g
09041830 UpMglyph_h
09041878 UpMglyph_j
090418C0 UpMglyph_k
09041908 UpMglyph_l
09041950 UpMglyph_o
09041998 UpMglyph_p
090419E0 UpMglyph_q
09041A28 UpMglyph_r
09041A70 UpMglyph_s
09041AB8 UpMglyph_u
09041B00 UpMglyph_v
09041B48 UpMglyph_x
09041B90 UpMglyph_y
09041BD8 UpMglyph_z
09050DF0 NewSupportConvoTable
09050E00 AmeliaSupportPointer
09050E20 ReineSupportPointer
09050E40 MumeiSupportPointer
09050E60 NewWeaponDebuffTable
09050EA0 PromoEffectList
09050EAA ChestKeyEffectList
09050EAE SelfHealItemEffectList
09050EB4 BattleQuoteTable
09050EE4 DeathQuoteTable
090511A0 BossBGMTable
09051514 SlimSwordBoost
09051528 ManaSlayerBoost
0905153C ClockHandsBoost
09051550 ThornBoost
09051564 SlimLanceBoost
09051578 NephBoost
0905158C Class_Level_Cap_Table
0905168C NewClassTable
090557D8 MagCharTable
090559D8 MagClassTable
09055DD8 UseEffectAnimTable
090561E8 StatBoosterTextTable
09056238 IBArray
0905637C AI_ItemArray
090563A4 IERevampTable
090569F8 PromotionItemTable
09056A7C AI_StaffArray
09056AE4 GaidenSpellCostTable
09056BB4 NewItemTable
09058FB4 SpellAssociationTable
09059A04 WeaponLockArrayPointerTable
09059E04 BiorhythmTable
0905A004 ModularEXPClassTable
0905B404 ModularPreBattleTable
0905C404 PersonalDataTable
0905D004 CharLevelUpSkillTable
0905D404 ClassLevelUpSkillTable
0905D7FC ClassSkillTable
0905D8FC PersonalSkillTable
0905D9FC ActionTextIDLink
0905DA00 PCCTextIDLink
081C1F44 DrawHelpBoxWeaponStats_Hook
081C1FB4 Text_InsertDrawSignedNumber
081C2020 Unset_Attack_Flag
081C2036 Arena_Fix1
081C2048 Arena_Fix2
081C205A Arena_Fix3
081C206A Arena_Fix4
081C207C Arena_Mage_Melee_Fix
0905DA04 BAN_ReloadPal
0905DA40 BAN_HookAttack
0905DA7C BAN_HookHeal
0905DAB4 BAN_HookNosferatu1
0905DAD4 BAN_HookNosferatu2
0905DAF8 BAN_DisplayDamage
0905DC70 BAN_DeAllocPointer
0905DC94 BAN_KillDigits
0905DCE4 BAN_DigitsPalette
0905DD24 BAN_DelayNODAMGEMIS
0905DD38 BAN_Proc_DelayNODAMGEMIS
0905DD50 BAN_DelayDigits
0905DE18 BAN_Proc_DelayDigits
0905DE30 BAN_Digits1FD
0905E090 BAN_Digits2FD
0905E368 BAN_Digits3FD
0905E714 BAN_Digits4FD
0905EBEC BAN_Digits5FD
0905FDFC SoundMixer
090606B8 EventReader
090606E4 EventWriter
090608A0 TrapRework_MapSpriteDisplay
09060918 TrapRework_GenericInitializer
09060930 AddTrapASMC
09060958 RemoveTrapAtCoordsASMC
09060984 GetTrapIDAtASMC
090609B0 GetTrapExt1AtASMC
090609DC TrapRework_NewRefreshTrapFogVision
09060A20 TrapRework_NewUpdateAllLightRunes
09060A64 NewTerrainHealLoopProc
09060ACC ExampleMapSpriteGraphics
09060B60 TrapInitFromEventsJumpTable
09060B60 LoadTrapJumpTable
09060F60 TrapMapSpriteTable
09061060 TrapMapSpriteFuncTable
09061460 TrapMapSpritePaletteTable
09061860 TrapFogLightSourceTable
09061960 TrapLightRuneImpassableTable
09061A60 TrapRework_NewAddBreakables
09061AF4 TrapRework_NewTryAddTrapsToTargetList
09061B70 TrapRework_MakeSnagTargetAdder
09061BB0 TrapRework_DoNewBreakAnim
09061BD4 TrapRework_DoNewHideMapSprite
09061BFC TrapRework_NewForceMapAnimsForTrap
09061C28 TrapRework_NewTerrainHPDisplay
09061C4C TrapBreakableTerrainList
09061C58 DragonVeinEffectTableOffset
09062058 VeinInitialization
0906207C VeinGraphics
090621A4 VeinHPFix
090621E8 VeinHPFix2
09062204 VeinTextBox
090623A0 DragonVeinSFXData
090623B0 DragonVeinSFX
090623BC DragonVeinVoicemap
090623C8 DragonVeinWav
0907C914 VeinUsability
0907C970 VeinEffect
0907C9C4 HealTrapIDLink
0907C9C4 HealTileTrapIDLink
0907C9C8 HealTiles_MapSpriteFunc
0907C9EC HealGraphics
0907CA50 HealTileInitializer
0907CA74 HealTiles
0907CAD8 TelliusTorchTrapIDLink
0907CAD8 TelliusTorchOffMapSpriteIDLink
0907CAD8 TelliusTorchOnMapSpriteIDLink
0907CADC AllyStarHitBonus
0907CADC AllyStarAvoidBonus
0907CADE EnemyStarHitBonus
0907CADE EnemyStarAvoidBonus
0907CAE0 NPCStarHitBonus
0907CAE0 NPCStarAvoidBonus
0907CAE2 CancelOutOpposingLeadership
0907CAE2 LeadershipTable
0907CB00 LeadershipHook
0907CB20 StatusScreenPlayer
0907CB80 StatusScreenEnemy
0907CBD0 GetFactionLeadershipCount
0907CCCC CalculateHitAvoidBonus
0907CE48 ApplyLeadershipBonus
0907CEE4 GetLeadershipStarCount
0907CF2C WeaponHelpTextIDs
0907CF3C WeaponDescGetter
0907CF80 WeaponDescLooper
0907CFF0 SSS_Flag
0907CFF4 SSS_PageTSATable
0907CFF8 SSS_StatsBoxTSA
08087184 RText_Page4_ladder
0907CFFC TalkTextIDLink
0907D000 SkillsTextIDLink
0907D004 Display_Growth_Options_Link
0907D008 BiorhythmTextIDLink
0907D00C MSS_page1
0907DE2C MSS_page2
0907E214 MSS_page3
0907E338 MSS_page4
0907E6E4 PageNumberCheck
0907E7B0 MSS_leftpage
0907E9D0 DontBlinkLeft
0907EA40 NewPageNameGraphic
0907F108 NewPageNameLayout
0907F118 NewPageNameTiles
0907F120 NewPageNamePalette
0907F1A0 Button_Branch
0907F1F8 Load_Page
0907F214 Store_Page
0907F234 Rescue_Arrows
0907F274 Get_Palette_Index
0907F2C8 HP_Name_Color
0907F344 Growth_Color_Table
0907F35C New_Palettes
0907F39C MovHPDescGetter
0907F3C4 SkillDescGetter
0907F420 AffinityDescTable
0907F430 AffinityDescLooper
0907F454 AffinityDescGetter
0907F474 StatusDescTable
0907F490 gStatusMaxCount
0907F494 StatusDescGetter
0907F4CC ItemMenuRtextGetter
0907F528 ItemMenuRtextLooper
0907F5C0 RText_Page1
0907F5C0 PersonalDataRText
0907F5DC ST_Name
0907F5F8 ST_Class
0907F614 ST_Level
0907F630 ST_Exp
0907F64C ST_HP
0907F668 ST_Str
0907F684 ST_Mag
0907F6A0 ST_Skl
0907F6BC ST_Spd
0907F6D8 ST_Luck
0907F6F4 ST_Def
0907F710 ST_Res
0907F72C ST_Mov
0907F748 ST_Con
0907F764 ST_Aid
0907F780 ST_Cond
0907F79C ST_Affin
0907F7B8 ST_AffinDesc
0907F7D4 ST_Talk
0907F7F0 ST_PCC
0907F80C ST_MovStar
0907F828 ST_Skills
0907F844 ST_Skill1
0907F860 ST_Skill2
0907F87C ST_Skill3
0907F898 ST_Skill4
0907F8B4 ST_Skill5
0907F8D0 ST_Skill6
0907F8EC RText_Page2
0907F8EC ST_Inventory1
0907F908 ST_Inventory2
0907F924 ST_Inventory3
0907F940 ST_Inventory4
0907F95C ST_Inventory5
0907F978 ST_Atk
0907F994 ST_Hit
0907F9B0 ST_Rng
0907F9CC ST_Crit
0907F9E8 ST_Avo
0907FA04 ST_Name2
0907FA20 ST_Class2
0907FA3C ST_Level2
0907FA58 ST_Exp2
0907FA74 ST_HP2
0907FA90 RText_Page3
0907FA90 ST_WRank1
0907FAAC ST_WRank2
0907FAC8 ST_WRank3
0907FAE4 ST_WRank4
0907FB00 ST_Supports
0907FB1C ST_Name3
0907FB38 ST_Class3
0907FB54 ST_Level3
0907FB70 ST_Exp3
0907FB8C ST_HP3
0907FBA8 RText_Page4
0907FBA8 ST_Name4
0907FBC4 ST_Class4
0907FBE0 ST_Level4
0907FBFC ST_Exp4
0907FC18 ST_HP4
0907FC34 ST_Likes
0907FC50 ST_Dislikes
0907FC6C ST_Age
0907FC88 ST_Height
0907FCA4 StatLocationTable
0907FCB4 Growths_Anims_Off_Stat_Name_Table
0907FD24 Add_Promotion_Bonuses
0907FD54 Original_Stats_Jump_Table
0907FD78 Get_Original_Magic
0907FD84 New_Stats_Jump_Table
0907FDA8 Promo_Stat_Name_Table
0907FDD0 Mov_Text_ID_Pointer
0907FDD4 LevelUpWriteBackMag
0907FDF0 LevelupMagCap
0907FE34 Str_Or_Mag_Damage
0907FE60 Update_Magic
0907FE8C Unit_Viewer
0907FECC MagSortFunc
09080028 Prep_Screen_Stat_Name_Table
09080050 Prep_Screen_New_TSA
0908007C New_TSA
0908087C Prep_Screen_Mag_Number
090808C4 Prep_Screen_Mov_Number
09080900 Prep_Screen_Bars
09080960 Prep_Screen_Bar_Placement
09080974 Mag_Stat_Booster_Incrementer
