INLINE NewClassTable,Name,Description,ID,Default Class Promoted From/To,Standing Map Anims,Move Speed,Generic Mug,N/A,HP,Atk,Skl,Spd,Def,Res,Con,Mov,HP Cap,Atk Cap,Skl Cap,Spd Cap,Def Cap,Res Cap,Con Cap,Class Relative Power,HP Growth,Atk Growth,Skl Growth,Spd Growth,Def Growth,Res Growth,Luck Growth,HP Promo Gain,Atk Promo Gain,Skl Promo Gain,Spd Promo Gain,Def Promo Gain,Res Promo Gain,CharClassAbility,Sword,Lance,Axe,Bow,Staff,Anima,Light,Dark,Battle Anims,Move Costs,Rain Move Costs,Snow Move Costs,Avo Bonus,Def Bonus,Res Bonus,Class Type
None,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,37,0,0,65,0,0,0x1000002,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,0x1f,0x0,0x231e143c,0x190f0f,0x0,0x0,0x0,0x0
Investigator,AmeT1Name,AmeT1Desc,0x1,0x3,0x1,0x0,0x8b,0x1,16,5,4,3,2,1,5,5,80,25,25,25,25,25,25,3,90,45,40,45,15,20,40,0,0,0,0,0,0,UnlockEirika|IsLord,ERank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,InvestigatorAnims|IsPointer,0x880b808,0x880bc59,0x880c069,0x880c479,0x880c4ba,0x880c4fb,0x0
Detective,DetectiveName,DetectiveDesc,0x2,0x4,0x1,0x0,0x8b,0x1,18,3,3,4,5,0,7,6,80,40,40,40,40,40,25,3,90,45,40,45,15,15,40,10,7,4,3,6,8,IsLord|SwordmasterUnlock|UnlockEirika,BRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,DetectiveAnims|IsPointer,0x880b808,0x880bc59,0x880c069,0x880c479,0x880c4ba,0x880c4fb,SwordType
Battle Maiden,MaidenName,MaidenDesc,0x3,0x1,0x2,0x0,0x8b,0x2,40,10,6,8,2,2,8,6,80,50,50,50,50,50,25,3,120,70,50,40,20,20,35,20,15,7,0,0,0,IsPromoted|UnlockEphraim|IsLord|MountedAid|HasCanto|HorseIcon,NoRank,NoRank,ARank,NoRank,NoRank,NoRank,NoRank,NoRank,Maiden|IsPointer,0x880bad3,0x880bf24,0x880c334,0x880c479,0x880c4ba,0x880c4fb,0x0
BattleSage,BSName,BSDesc,0x4,0x2,0x3,0x0,0xCA,0x2,22,4,8,7,6,3,6,6,80,50,50,50,50,50,25,3,90,45,40,45,15,15,40,10,5,2,2,4,0,IsPromoted,BRank,NoRank,NoRank,NoRank,ARank,ARank,ARank,NoRank,BattleSageAnim|IsPointer,0x880b808,0x880bc59,0x880c069,0x880c479,0x880c4ba,0x880c4fb,HorseType|SwordType
Cavalier,0x2c1,0x30d,0x5,0x7,0x4,0x0,0x80,0x20,20,5,2,5,6,0,9,7,80,20,20,20,20,20,25,3,75,35,40,28,15,15,30,0,0,0,0,0,0,MountedAid|HasCanto|HorseIcon,ERank,DRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,CavAnim|IsPointer,0x880ba92,0x880bee3,0x880c2f3,0x880c479,0x880c4ba,0x880c4fb,HorseType
Cavalier (F),0x2c1,0x30d,0x6,0x8,0x6B,0x0,0xB7,0x20,18,5,3,3,6,0,9,7,80,20,20,20,20,20,25,3,75,35,40,28,15,15,30,1,0,2,2,0,2,MountedAid|HasCanto|HorseIcon,ERank,DRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,FCavAnim|IsPointer,0x880ba92,0x880bee3,0x880c2f3,0x880c479,0x880c4ba,0x880c4fb,HorseType
Paladin,0x2c2,0x30e,0x7,0x5,0x5,0x0,0x81,0x21,23,7,4,7,8,3,11,8,80,40,40,40,40,40,25,3,70,25,30,18,12,20,25,2,1,1,1,2,1,MountedAid|HasCanto|HorseIcon|IsPromoted,DRank,DRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,PaladinAnim|IsPointer,0x880bad3,0x880bf24,0x880c334,0x880c479,0x880c4ba,0x880c4fb,HorseType
Paladin (F),0x2c2,0x30e,0x8,0x6,0x6C,0x0,0xC5,0x21,23,6,6,11,7,6,9,8,80,40,40,40,40,40,25,3,70,25,35,25,12,25,25,1,1,1,2,1,2,MountedAid|HasCanto|HorseIcon|IsPromoted,DRank,DRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,FPaladinAnim|IsPointer,0x880bad3,0x880bf24,0x880c334,0x880c479,0x880c4ba,0x880c4fb,HorseType
Armor Knight,ArmorKnightName,0x30f,0x9,0xb,0x6,0x1,0x76,0xc,17,5,2,0,9,0,13,4,80,20,20,20,20,20,25,3,80,40,30,15,28,20,25,0,0,0,0,0,0,0x0,NoRank,DRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoelAnim|IsPointer,0x880b88a,0x880bcdb,0x880c0eb,0x880c479,0x880c4ba,0x880c4fb,ArmorType
