INLINE PromotionBranchTable,Class Selection 1,Class Selection 2
Investigator,0x1,0x0
Detective,0x0,0x0
Battle Maiden,0x0,0x0
BattleSage,0x0,0x0
Cavalier,0x7,0x35
Cavalier (F),0x8,0x36
Paladin,0x0,0x0
Paladin (F),0xBF,0x0
Armor Knight,0xB,0x36
Armour Knight (F),0x0,0x0
General,0xBB,0x0
Crate,0x0,0x0
Thief,0x18,0x33
Dummy,0x0,0x0
Mercenary,0x11,0x1D
Mercenary (F),0x12,0x1E
Hero,0x0,0x0
Hero (F),0xC4,0x0
Myrmidon,0x0,0x0
Myrmidon (F),0x0,0x0
Swordmaster,0x0,0x0
Swordmaster (F),0x0,0x0
Assassin,0x0,0x0
Assassin (F),0x0,0x0
Archer,0x0,0x0
Archer (F),0x0,0x0
Sniper,0x0,0x0
Sniper (F),0x0,0x0
Ranger,0x0,0x0
Ranger (F),0x0,0x0
Wyvern Rider,0x0,0x0
Wyvern Rider (F),0x0,0x0
Wyvern Lord,0x0,0x0
Wyvern Lord (F),0x0,0x0
Wyvern Knight,0x0,0x0
Wyvern Knight (F),0x0,0x0
Mage,0x0,0x0
Mage (F),0x0,0x0
Sage,0x0,0x0
Sage (F),0x0,0x0
Mage Knight,0x0,0x0
Mage Knight (F),0x0,0x0
Bishop,0x0,0x0
Bishop (F),0x0,0x0
Shaman,0x0,0x0
Shaman (F),0x0,0x0
Druid,0x0,0x0
Druid (F),0x0,0x0
Summoner,Sage,0x0
Summoner (F),0x0,0x0
Rogue,0x0,0x0
Gorgon Egg,0x61,0x0
Great Knight,0x0,0x0
Great Knight (F),0x0,0x0
Im[_p][_e][_r][_f][_e][_c][_t][_SP][_O][_n][_e],0x0,0x0
Im[_p][_e][_r][_f][_e][_c][_t][_SP][_O][_n][_e],0x0,0x0
Im[_p][_e][_r][_f][_e][_c][_t][_SP][_O][_n][_e],0x0,0x0
Im[_p][_e][_r][_f][_e][_c][_t][_SP][_O][_n][_e],0x0,0x0
Manakete,0x0,0x0
Manakete (F),0x0,0x0
Im[_p][_e][_r][_f][_e][_c][_t][_SP][_O][_n][_e],0x0,0x0
Catalyst,0x0,0x0
Fighter,0x0,0x0
Warrior,0x0,0x0
Brigand,0x0,0x0
Pirate,0x0,0x0
Berserker,0x0,0x0
Squire,0x0,0x0
Cleric,0x0,0x0
Bard,0x0,0x0
Recruit,0x0,0x0
Pegasus Knight,0x0,0x0
Falcon Knight,0x0,0x0
[_S][_h][_r]i[_n][_e][_SP]M[_a]i[_d][_e][_n],0x0,0x0
Troubadour,0x0,0x0
Valkyrie,0x0,0x0
Dancer,0x0,0x0
Soldier,0x0,0x0
The Reaper,0x0,0x0
Fleet,0x0,0x0
Phantom,0x0,0x0
Revenant,0x0,0x0
Entombed,0x0,0x0
Bonewalker,0x0,0x0
Bonewalker (Bow),0x0,0x0
Wight,0x0,0x0
Wight (Bow),0x0,0x0
Bael,0x0,0x0
Elder Bael,0x0,0x0
Cyclops,0x0,0x0
Mauthe Doog,0x0,0x0
Gwyllgi,0x0,0x0
Tarvos,0x0,0x0
Maelduin,0x0,0x0
Mogall,0x0,0x0
Arch Mogall,0x0,0x0
Gorgon,0x0,0x0
Gorgon Egg,0x0,0x0
Gargoyle,0x0,0x0
Deathgoyle,0x0,0x0
Dracozombie,0x0,0x0
Demon King,0x0,0x0
Archer on Ballista,0x0,0x0
Archer on Iron Ballista,0x0,0x0
Archer on Killer Ballista,0x0,0x0
Ballista,0x0,0x0
Iron Ballista,0x0,0x0
Killer Ballista,0x0,0x0
Civilian,0x0,0x0
Civilian (F),0x0,0x0
Civilian,0x0,0x0
Civilian (F),0x0,0x0
Civilian,0x0,0x0
Civilian (F),0x0,0x0
Peer,0x0,0x0
Queen,0x0,0x0
Prince,0x0,0x0
Queen,0x0,0x0
(empty),0x0,0x0
Fallen Prince,0x0,0x0
Tent,0x0,0x0
Pontifex,0x0,0x0
Dead Peer,0x0,0x0
Cyclops,0x0,0x0
Elder Bael,0x0,0x0
Im[_p][_e][_r][_f][_e][_c][_t][_SP][_O][_n][_e],0x0,0x0
Im[_p][_e][_r][_f][_e][_c][_t][_SP][_O][_n][_e],0x0,0x0
Circus Tent,0x0,0x0
???,0x0,0x0
Neko,0x0,0x0
Mage,0x0,0x0
Light Mage,0x0,0x0
Crewmate,0x0,0x0
The Weapon,0x0,0x0
T[_r][_a][_v][_e]li[_n][_g][_SP][_C]i[_r][_c][_u][_s],0x0,0x0
Smol Ame,0x0,0x0
Crossbowmen,0x0,0x0
Warrior,0x0,0x0
Berserker,0x0,0x0
Succubus,0x0,0x0
Scholar,0x0,0x0
Witch,0x0,0x0
Gunner,0x0,0x0
L. Gunner,0x0,0x0
Rogue,0x0,0x0
KFP,0x0,0x0
Harrier,0x0,0x0
Blacksmith,0x0,0x0
Samurai,0x0,0x0
The Doog,0x0,0x0
The Slayer,0x0,0x0
FellBeast,0x0,0x0
Oni,0x0,0x0
Pirate,0x0,0x0
