INLINE NewItemTable,Name,Description,Use Desc,ID,Type,ItemAbility,Stat Boosts,Effectiveness,Uses,Mt,Hit,Wt,Crit,Range,Price Per Use,Weapon Level,Icon,Use Effect,Weapon Effect,Weapon EXP,Debuff Type,IER Byte,Item Skill
Nothing,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0,0,0,0,0,0x0,0,NoRank,0x0,0x0,NoEffect,0,0x0,0x0,0x0
Iron Sword,IronSwdName,BlankDesc,0x0,0x1,0x0,IsWeapon,0x0,0x0,46,5,90,5,0,0x11,24,ERank,0x1,0x0,NoEffect,1,0x0,0x0,0x0
Slim Sword,SlimSwdName,SlimSwdDesc,0x0,0x2,0x0,IsWeapon,SlimSwordBoost|IsPointer,0x0,30,3,100,2,5,0x11,24,ERank,0x3,0x0,NoEffect,1,0x0,0x0,0x0
Steel Sword,SteelSwdName,BlankDesc,0x0,0x3,0x0,IsWeapon,0x0,0x0,30,8,75,10,0,0x11,64,DRank,0x2,0x0,NoEffect,1,0x0,0x0,0x0
Silver Sword,SilverSwdName,BlankDesc,0x0,0x4,0x0,IsWeapon,0x0,0x0,20,13,80,8,0,0x11,143,ARank,0x4,0x0,NoEffect,1,0x0,0x0,0x0
Training Blade,TrainSwdName,TrainSwdDesc,0x0,0x5,0x0,IsWeapon,0x0,0x0,40,1,90,3,0,0x11,84,ERank,0x5,0x0,NoEffect,5,0x0,0x0,0x0
Wing Clipper,WingClipName,WingClipDesc,0x0,0x6,0x0,IsWeapon,0x0,FlierEffectiveness|IsPointer,25,8,75,7,0,0x11,100,CRank,0x6,0x0,NoEffect,2,0x0,0x0,0x0
Superior Blade,SupBldName,SupBldDesc,0x0,0x7,0x0,IsWeapon,0x0,0x0,20,15,80,13,0,0x11,240,ARank,0x7,0x0,NoEffect,2,0x0,0x0,0x0
Master Sword,MstSwdName,MstSwdDesc,0x0,0x8,0x0,IsWeapon|IsBrave,0x0,0x0,20,10,65,12,0,0x11,300,ARank,0x8,0x0,NoEffect,1,0x0,0x0,0x0
Rapier,RapierName,RapierDesc,0x0,0x9,0x0,IsWeapon|Unsellable|AmeliaLocked,0x0,LordWeaponEffectiveness|IsPointer,40,7,100,5,10,0x11,150,NoRank,0x9,0x0,NoEffect,2,0x0,0x0,0x0
Master Lance,MstLncName,MstSwdDesc,0x0,0xa,0x1,IsWeapon|IsBrave,0x0,0x0,20,12,75,10,0,0x11,300,ARank,0xa,0x0,NoEffect,1,0x0,0x0,0x0
Brave Sword,BraveSwordName,BraveSwordDesc,0x0,0xb,0x0,IsWeapon|IsBrave,0x0,0x0,40,6,80,6,0,0x11,250,BRank,0xb,0x0,NoEffect,1,0x0,0x0,0x0
Thorn,ThornName,ThornDesc,0x0,0xc,0x0,IsWeapon|NegateCriticals|Unsellable|NegateDef,ThornBoost|IsPointer,0x0,25,10,75,5,35,0x11,60,SRank,0xc,0x0,NoEffect,1,0x0,0x0,0x0
Killing Edge,KillSwdName,KillSwdDesc,0x0,0xd,0x0,IsWeapon,0x0,0x0,20,9,80,7,30,0x11,130,CRank,0xd,0x0,NoEffect,1,0x0,0x0,0x0
Armorslayer,ArmorSwdName,ArmorSwdDesc,0x0,0xe,0x0,IsWeapon,0x0,ArmorEffectiveness|IsPointer,18,8,85,11,0,0x11,140,DRank,0xe,0x0,NoEffect,1,0x0,0x0,0x0
Wyrmslayer,DragonSwdName,DragonSwdDesc,0x0,0xf,0x0,IsWeapon,0x0,DragonEffectiveness|IsPointer,30,8,80,5,0,0x11,170,CRank,0xf,0x0,NoEffect,1,0x0,0x0,0x0
Light Brand,LightBrandName,LightBrandDesc,0x0,0x10,0x0,IsWeapon|MagicDamage,0x0,0x0,25,9,75,9,0,0x12,200,CRank,0x10,0x0,NoEffect,1,0x0,0x0,0x0
Runesword,RuneSwdName,RuneSwdDesc,0x0,0x11,0x0,IsWeapon|MagicDamage,0x0,0x0,25,12,70,11,0,0x12,200,ARank,0x11,0x0,NosferatuEffect,1,0x0,0x0,0x0
Lancereaver,LancereaverName,LncReDesc,0x0,0x12,0x0,IsWeapon|ReverseTriangle,0x0,0x0,15,9,80,9,5,0x11,200,CRank,0x12,0x0,NoEffect,2,0x0,0x0,0x0
Zanbato,0x365,0x415,0x0,0x13,0x0,IsWeapon,0x0,HorseEffectiveness|IsPointer,18,6,85,11,0,0x11,70,DRank,0x13,0x0,NoEffect,1,0x0,0x0,0x0
Iron Lance,IronLncName,BlankDesc,0x0,0x14,0x1,IsWeapon,0x0,0x0,45,7,85,8,0,0x11,24,ERank,0x14,0x0,NoEffect,1,0x0,0x0,0x0
Slim Lance,SlimLncName,SlimSwdDesc,0x0,0x15,0x1,IsWeapon,SlimLanceBoost|IsPointer,0x0,30,3,90,4,5,0x11,24,ERank,0x15,0x0,NoEffect,1,0x0,0x0,0x0
Steel Lance,SteelLncName,BlankDesc,0x0,0x16,0x1,IsWeapon,0x0,0x0,30,10,75,13,0,0x11,67,DRank,0x16,0x0,NoEffect,2,0x0,0x0,0x0
Silver Lance,SilverLncName,BlankDesc,0x0,0x17,0x1,IsWeapon,0x0,0x0,20,14,80,10,0,0x11,150,ARank,0x17,0x0,NoEffect,1,0x0,0x0,0x0
Superior Lance,SupLncName,SupLncDesc,0x0,0x18,0x1,IsWeapon,0x0,0x0,20,16,70,14,0,0x11,240,ARank,0x18,0x0,NoEffect,1,0x0,0x0,0x0
Brave Lance,BraveLanceName,BraveSwordDesc,0x0,0x19,0x1,IsWeapon|IsBrave,0x0,0x0,30,10,75,14,0,0x11,250,BRank,0x19,0x0,NoEffect,1,0x0,0x0,0x0
Killer Lance,KillLncName,KillSwdDesc,0x0,0x1a,0x1,IsWeapon,0x0,0x0,20,10,75,9,30,0x11,120,CRank,0x1a,0x0,NoEffect,1,0x0,0x0,0x0
Horseslayer,HorseslayerName,HorseslayerDesc,0x0,0x1b,0x1,IsWeapon,0x0,HorseEffectiveness|IsPointer,16,7,75,13,0,0x11,130,DRank,0x1b,0x0,NoEffect,1,0x0,0x0,0x0
Javelin,JavelinName,JavelinDesc,0x0,0x1c,0x1,IsWeapon,0x0,0x0,20,6,70,11,0,0x12,40,ERank,0x1c,0x0,NoEffect,1,0x0,0x0,0x0
Spear,SpearName,SpearDesc,0x0,0x1d,0x1,IsWeapon,0x0,0x0,15,12,75,10,5,0x12,400,BRank,0x1d,0x0,NoEffect,1,0x0,0x0,0x0
Axereaver,AxereaverName,AxereaverDesc,0x0,0x1e,0x1,IsWeapon|ReverseTriangle,0x0,0x0,15,10,75,11,5,0x11,200,CRank,0x1e,0x0,NoEffect,2,0x0,0x0,0x0
Iron Axe,IronAxeName,BlankDesc,0x0,0x1f,0x2,IsWeapon,0x0,0x0,45,8,80,10,0,0x11,24,ERank,0x1f,0x0,NoEffect,1,0x0,0x0,0x0
