INLINE PersonalDataTable,First Like,Second Like,First Disike,Second Dislike,Age,Height,Generation
0x0,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
0x01 Amelia,AmeliaLike,AmeliaLike2,Skills,EirikaDislike2ID,RedactedAgeID,EirikaHeightID,HoloMyth
0x02 Reine,ReineLike,ReineLike2,ReineSkill,ReineSkill2,AgeSecret,ReineHeight,IDsecond
0x03 Mumei,MumeiLike,MumeiLike2,MumeiSkill,MumeiSkill2,MumeiAge,MumeiHeight,EnCouncil
0x04 Fauna,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,EnCouncil
0x05 Miko,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,Gen0
0x06 Suisei,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,Gen0
0x07 Baelz,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,EnCouncil
0x08 Polka,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,Gen5
0x09 Noel,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,Gen3
0x0A Flare,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,Gen3
0x0B Watame,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,Gen4
0x0C Nene,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,Gen5
0x0D Luna,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,Gen4
0x0E Subaru,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,Gen2
0x0F Iofi,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,IDone
0x10 Roboco,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,Gen0
0x11 Risu,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,IDone
0x12 Matsuri,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,Gen1
0x13 Aki,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,Gen1
0x14 Botan,BotanLike,BotanLike2,BotanSkill1,BotanSkill2,MumeiAge,BotanHeight,Gen5
0x15 Sora,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,Gen0
0x16 Azki,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,Gen0
0x17 Pekora,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,Gen3
