INLINE ClassSkillTable,Skill
0x00 Separator/Nothing,0x0
Investigator,SwapID
Detective,SwapID
Battle Maiden,AxeFaithID
BattleSage,WindDiscipleID
Cavalier,CantoID
Cavalier (F),CantoID
Paladin,CantoPlusID
Paladin (F),CantoPlusID
Armor Knight,0x0
Armour Knight (F),0x0
General,BarricadeID
Crate,0x0
Thief,CunningID
Dummy,0x0
Mercenary,0x0
Mercenary (F),0x0
Hero,0x0
Hero (F),0x0
Myrmidon,0x0
Myrmidon (F),0x0
Swordmaster,CritUpID
Swordmaster (F),CritUpID
Assassin,CunningID
Assassin (F),CunningID
Archer,0x0
Archer (F),0x0
Sniper,SureShotID
Sniper (F),SureShotID
Ranger,0x0
Ranger (F),0x0
Wyvern Rider,CantoID
Wyvern Rider (F),CantoID
Wyvern Lord,CantoID
Wyvern Lord (F),CantoID
Wyvern Knight,CantoID
Wyvern Knight (F),CantoID
Mage,0x0
Mage (F),0x0
Sage,0x0
Sage (F),0x0
Mage Knight,CantoID
Mage Knight (F),CantoID
Bishop,SlayerID
Bishop (F),SlayerID
Shaman,0x0
Shaman (F),0x0
Druid,0x0
Druid (F),0x0
Summoner,SummonID
Summoner (F),SummonID
Rogue,LockTouchID
Gorgon Egg,0x0
Great Knight,CantoID
Great Knight (F),CantoID
Im[_p][_e][_r][_f][_e][_c][_t][_SP][_O][_n][_e],0x0
Im[_p][_e][_r][_f][_e][_c][_t][_SP][_O][_n][_e],0x0
Im[_p][_e][_r][_f][_e][_c][_t][_SP][_O][_n][_e],0x0
Im[_p][_e][_r][_f][_e][_c][_t][_SP][_O][_n][_e],0x0
Manakete,0x0
Manakete (F),0x0
Im[_p][_e][_r][_f][_e][_c][_t][_SP][_O][_n][_e],0x0
Catalyst,0x0
Fighter,0x0
Warrior,0x0
Brigand,0x0
Pirate,0x0
Berserker,CritUpID
Squire,0x0
Cleric,0x0
Bard,0x0
Recruit,0x0
Pegasus Knight,CantoID
Falcon Knight,CantoID
[_S][_h][_r]i[_n][_e][_SP]M[_a]i[_d][_e][_n],0x0
Troubadour,CantoID
Valkyrie,CantoID
Dancer,DanceID
Soldier,0x0
The Reaper,SummonID
Fleet,0x0
Phantom,0x0
Revenant,0x0
Entombed,0x0
Bonewalker,0x0
Bonewalker (Bow),0x0
Wight,0x0
Wight (Bow),0x0
Bael,0x0
Elder Bael,0x0
Cyclops,0x0
Mauthe Doog,0x0
Gwyllgi,0x0
Tarvos,0x0
Maelduin,0x0
Mogall,0x0
Arch Mogall,0x0
Gorgon,0x0
Gorgon Egg,0x0
Gargoyle,0x0
Deathgoyle,0x0
Dracozombie,0x0
Demon King,SummonID
Archer on Ballista,0x0
Archer on Iron Ballista,0x0
Archer on Killer Ballista,0x0
Ballista,0x0
Iron Ballista,0x0
Killer Ballista,0x0
Civilian,0x0
Civilian (F),0x0
Civilian,0x0
Civilian (F),0x0
Civilian,0x0
Civilian (F),0x0
Peer,0x0
Queen,0x0
Prince,0x0
Queen,0x0
(empty),0x0
Fallen Prince,0x0
Tent,0x0
Pontifex,0x0
Dead Peer,0x0
Cyclops,0x0
Elder Bael,0x0
Im[_p][_e][_r][_f][_e][_c][_t][_SP][_O][_n][_e],0x0
Im[_p][_e][_r][_f][_e][_c][_t][_SP][_O][_n][_e],0x0
Circus Tent,0x0
???,0x0
Neko,0x0
Mage,0x0
Light Mage,0x0
Crewmate,0x0
The Weapon,0x0
T[_r][_a][_v][_e]li[_n][_g][_SP][_C]i[_r][_c][_u][_s],SupplyID
Smol Ame,0x0
Crossbowmen,0x0
Warrior,0x0
Berserker,0x0
Succubus,0x0
Scholar,0x0
Witch,0x0
Gunner,0x0
L. Gunner,0x0
Rogue,LockTouchID
KFP,0x0
Harrier,0x0
Blacksmith,0x0
Samurai,0x0
The Doog,0x0
The Slayer,0x0
FellBeast,0x0
Oni,0x0
Pirate,0x0
Shaman,0x0
Angel,0x0
Commander,0x0
Baellista,0x0
Tank,0x0
Infantry,0x0
Howtizer,0x0
Warden,0x0
Guardian,0x0
Guardian,0x0
Drowned,0x0
Symphone,0x0
Druid,0x0
Succubus,0x0
Laplace,0x0
Scientist,0x0
Nephilim,0x0
Peg. Trainee,0x0
Magic Girl,0x0
Mahou Girl,0x0
Maid,0x0
Gore,0x0
Legion,0x0
King,0x0
Seal,0x0
CEO,0x0
War Elephant,0x0
Rat,0x0
Catapult,0x0
Novistador,0x0
Dancer,0x0
Trickster,0x0
Marshall,0x0
Sentinel,0x0
Necromancer,0x0
Seraph Knight,0x0
Master Knight,0x0
Marksmen,0x0
Halberdier,0x0
Archer,0x0
Ballista,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
