INLINE PersonalSkillTable,Skill
None,0x0
0x01 Amelia,InvestigationID
0x02 Reine,TonjokID
0x03 Mumei,RallyDefID
0x04 Fauna,SealStrID
0x05 Miko,ParagonID
0x06 Suisei,AxefaireID
0x07 Baelz,ParagonID
0x08 Polka,RallySpectrumID
0x09 Noel,RallySpdID
0x0A Flare,ColossusID
0x0B Watame,BowRangeUpID
0x0C Nene,ParagonID
0x0D Luna,SealLukID
0x0E Subaru,RallyStrID
0x0F Iofi,InspirationID
0x10 Roboco,SpurSpdID
0x11 Risu,SpurStrID
0x12 Matsuri,ParagonID
0x13 Aki,FocusID
0x14 Botan,BondID
0x15 Sora,DemoiselleID
0x16 Azki,FocusID
0x17 Pekora,SpurMagID
0x18 Moona,CelerityID
0x19 Lamy,IntimidateID
0x1A Chloe,PivotID
0x1B Rushia,0x0
0x1C Kiara,SpurSpdID
0x1D Aqua,RepositionID
0x1E Friend C,DragonsBloodID
0x1F Shion,VoiceOfPeaceID
0x20 Marine,GambleID
0x21 Gura,TantivyID
0x22 Ina,LilysPoiseID
0x23 Calliope,LunaID
0x24 Ollie,0x0
0x25 Shirakami,0x0
0x26 Korone,0x0
0x27 Okayu,CharmID
0x28 Mio,0x0
0x29 Irys,0x0
0x2A Kanata,0x0
0x2B Towa,0x0
0x2C Mel,0x0
0x2D Choco,0x0
0x2E Lui,0x0
0x2F Laplus,0x0
0x30 Anya,0x0
0x31 Kobo,0x0
0x32 Zeta,0x0
0x33 Kaela,0x0
0x34 Iroha,GozaruID
0x35 Koyori,AlchemistID
0x36 Sana,SynchronizeID
0x37 Ayame,0x0
0x38 Kronii,0x0
0x39 Kurokami,0x0
0,0x0
Lyon's Summon,0x0
0,0x0
0,0x0
Knoll's Summon,0x0
Ewan's Summon,0x0
Lyon (Ch 17),0x0
Morva (Ch 20),FrenzyID
Orson (Ch 5x),0x0
Valter (Ch 15),0x0
Selena (Ch 10B & 13B),0x0
Valter (Prologue),0x0
Breguet (Ch 1),CounterMagicID
Nousagi Chp3,0x0
Bazba (Ch 3),SwordbreakerID
Entombed (Ch 4),0x0
Saar (Ch 5),AxebreakerID
Novala (Ch 6),IgnisID
Murray (Ch 7),LifeAndDeathID
Nougalas,SealDefID
Tamara,TomeRangeUpID
Pablo (Ch 10A),DartingBlowID
Maelduin (Ch 12A),0x0
Aias (Ch 13A),SavageBlowID
Carlyle (Ch 14A),SealSpdID
Caellach (Ch 15),0x0
Pablo (Ch 13A),0x0
0,0x0
Gorgon (Ch 18),0x0
Riev (Ch 19 & 20),0x0
0,0x0
0,0x0
Gheb (Ch 9B),VantageID
Beran (Ch 10B),ImpaleID
Cyclops (Ch 12B),ColossusID
Wight (Ch 11A),0x0
Deathgoyle (Ch 11B),0x0
Entombed (Monster Boss),0x0
0,0x0
0,0x0
0,0x0
0,0x0
Hunter (Ch 16),0x0
0,0x0
Brigand,0x0
0,0x0
O'Neill (Prologue),QuickRiposteID
Glen (Cutscene),0x0
Zonta (Ch 5x),0x0
Vigarde (Ch 14B),RenewalID
Lyon (Ch Final),0x0
Orson (Ch 16),0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
Grado Soldier (Special),0x0
Grado Soldier 1 (Normal),0x0
Grado Soldier 2,0x0
Grado Soldier 3,0x0
Grado Soldier 4,0x0
Grado Soldier 5,0x0
Grado Soldier 6,0x0
Grado Soldier 7,0x0
Grado Soldier 8,0x0
Grado Soldier 9,0x0
Grado Soldier 10 (Duessel's),0x0
Grado Soldier 11 (Duessel's),0x0
Grado Soldier 12 (Duessel's),0x0
Grado Soldier 13,0x0
Grado Remnant 1 (Main),0x0
Cutthroat,0x0
Grado Remnant 2 (Cutscene and C16 only?),0x0
Grado Remnant 3 (C16 only?),0x0
Grado Remnant 4 (C16 only?),0x0
Wraith (Sage),0x0
Wraith (Swords),0x0
Wraith (Axes),0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
Mercenary (C9A),0x0
Mercenary (C10A),0x0
Merc Remnant (C13A),0x0
Monster,0x0
Monster,0x0
Monster,0x0
Monster,0x0
Monster,0x0
Monster,0x0
Monster,0x0
Monster,0x0
Monster,0x0
Monster,0x0
Monster,0x0
Monster,0x0
Monster,0x0
Monster,0x0
Monster,0x0
Monster,0x0
Monster,0x0
Monster,0x0
Monster,0x0
Monster,0x0
Monster,0x0
Demon King,0x0
0,0x0
Frelian,0x0
Frelian,0x0
0,0x0
0,0x0
0,0x0
Fado (Renais),0x0
0,0x0
Hayden (Frelia),0x0
Mansel (Rausten),0x0
Klimt (Carcino),0x0
Dara (Caer Pelyn),0x0
Ismaire (Jehanna),0x0
Pegasus Messenger,0x0
Rausten Knight,0x0
Rausten Knight,0x0
(Untested Beyond this point),0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
